index,author,date,post,sentiment
0,OnnMacMahal,Aug 30 2022,Aid,neutral
0,OnnMacMahal,Aug 30 2022,strong,neutral
0,OnnMacMahal,Aug 30 2022,defensive,neutral
0,OnnMacMahal,Aug 30 2022,cooldown,neutral
0,OnnMacMahal,Aug 30 2022,granting,neutral
0,OnnMacMahal,Aug 30 2022,brief,neutral
0,OnnMacMahal,Aug 30 2022,Heal,neutral
0,OnnMacMahal,Aug 30 2022,Time,neutral
0,OnnMacMahal,Aug 30 2022,Damage,neutral
0,OnnMacMahal,Aug 30 2022,reduction,neutral
0,OnnMacMahal,Aug 30 2022,reflect,neutral
0,OnnMacMahal,Aug 30 2022,help,neutral
0,OnnMacMahal,Aug 30 2022,get,neutral
0,OnnMacMahal,Aug 30 2022,back,neutral
0,OnnMacMahal,Aug 30 2022,feet,neutral
0,OnnMacMahal,Aug 30 2022,things,neutral
0,OnnMacMahal,Aug 30 2022,start,neutral
0,OnnMacMahal,Aug 30 2022,go,neutral
0,OnnMacMahal,Aug 30 2022,sideways.Call,neutral
0,OnnMacMahal,Aug 30 2022,Greatness,neutral
0,OnnMacMahal,Aug 30 2022,resets,neutral
0,OnnMacMahal,Aug 30 2022,key,neutral
0,OnnMacMahal,Aug 30 2022,capstone,neutral
0,OnnMacMahal,Aug 30 2022,cooldown,neutral
0,OnnMacMahal,Aug 30 2022,every,neutral
0,OnnMacMahal,Aug 30 2022,trait,neutral
0,OnnMacMahal,Aug 30 2022,tree,neutral
0,OnnMacMahal,Aug 30 2022,every,neutral
0,OnnMacMahal,Aug 30 2022,class,neutral
0,OnnMacMahal,Aug 30 2022,means,neutral
0,OnnMacMahal,Aug 30 2022,regardless,neutral
0,OnnMacMahal,Aug 30 2022,chosen,neutral
0,OnnMacMahal,Aug 30 2022,class,neutral
0,OnnMacMahal,Aug 30 2022,role,neutral
0,OnnMacMahal,Aug 30 2022,skill,neutral
0,OnnMacMahal,Aug 30 2022,cooldown,neutral
0,OnnMacMahal,Aug 30 2022,reset,neutral
0,OnnMacMahal,Aug 30 2022,Call,neutral
0,OnnMacMahal,Aug 30 2022,Greatness,neutral
0,OnnMacMahal,Aug 30 2022,allow,neutral
0,OnnMacMahal,Aug 30 2022,Call,neutral
0,OnnMacMahal,Aug 30 2022,Greatness,neutral
0,OnnMacMahal,Aug 30 2022,used,neutral
0,OnnMacMahal,Aug 30 2022,offensively,neutral
0,OnnMacMahal,Aug 30 2022,defensively,neutral
0,OnnMacMahal,Aug 30 2022,make,neutral
0,OnnMacMahal,Aug 30 2022,effects,neutral
0,OnnMacMahal,Aug 30 2022,relevant,neutral
0,OnnMacMahal,Aug 30 2022,everyone.That,neutral
0,OnnMacMahal,Aug 30 2022,said,neutral
0,OnnMacMahal,Aug 30 2022,classes,neutral
0,OnnMacMahal,Aug 30 2022,equal,neutral
